floor_idx,point_idx,x_mm,y_mm,r_mm,t_mm
14.0,4.0,319.0348815917969,6.496293544769287,0.0,0.0
14.0,5.0,337.1464538574219,13.082588195800781,0.0,0.0
14.0,6.0,355.4640197753906,44.327308654785156,0.0,0.0
14.0,7.0,373.6554870605469,64.47158813476562,0.0,0.0
14.0,8.0,390.428466796875,64.07251739501953,0.0,0.0
14.0,9.0,408.02532958984375,58.491119384765625,0.0,0.0
14.0,10.0,425.17059326171875,58.13033676147461,0.0,0.0
14.0,11.0,442.2886657714844,57.74231719970703,0.0,0.0
14.0,12.0,459.7991027832031,58.05107879638672,0.0,0.0
14.0,13.0,477.0178527832031,63.70511245727539,0.0,0.0
14.0,14.0,493.7091064453125,62.57490921020508,0.0,0.0
14.0,15.0,510.5731201171875,42.88803482055664,0.0,0.0
14.0,16.0,528.0634155273438,12.669013977050781,0.0,0.0
14.0,17.0,544.4204711914062,5.79131555557251,0.0,0.0
14.0,18.0,564.4736938476562,0.0,0.0,0.0
14.0,19.0,582.23681640625,0.0,0.0,0.0
14.0,20.0,600.0,0.0,0.0,0.0
15.0,1.0,281.25,0.0,0.0,0.0
15.0,2.0,298.02630615234375,0.0,0.0,0.0
15.0,3.0,314.8026428222656,0.0,0.0,0.0
15.0,4.0,335.96270751953125,6.714561939239502,0.0,0.0
15.0,5.0,352.1008605957031,12.039337158203125,0.0,0.0
15.0,6.0,370.4210205078125,44.73053741455078,0.0,0.0
15.0,7.0,386.99237060546875,63.87031555175781,0.0,0.0
15.0,8.0,402.1687316894531,64.0894775390625,0.0,0.0
15.0,9.0,418.4522399902344,57.711666107177734,0.0,0.0
15.0,10.0,434.5003967285156,57.318904876708984,0.0,0.0
15.0,11.0,450.60369873046875,57.19907760620117,0.0,0.0
15.0,12.0,466.5795593261719,56.869083404541016,0.0,0.0
15.0,13.0,481.9546203613281,62.23709487915039,0.0,0.0
15.0,14.0,498.1591796875,61.453826904296875,0.0,0.0
15.0,15.0,513.8673706054688,41.87278366088867,0.0,0.0
15.0,16.0,530.4483032226562,11.665974617004395,0.0,0.0
15.0,17.0,546.4690551757812,5.547717094421387,0.0,0.0
15.0,18.0,566.4473876953125,0.0,0.0,0.0
15.0,19.0,583.2236938476562,0.0,0.0,0.0
15.0,20.0,600.0,0.0,0.0,0.0
16.0,1.0,300.0,0.0,0.0,0.0
16.0,2.0,315.7799987792969,0.0,0.0,0.0
16.0,3.0,331.55999755859375,0.0,0.0,0.0
16.0,4.0,347.3399963378906,6.0,0.0,0.0
16.0,5.0,363.1199951171875,12.0,0.0,0.0
16.0,6.0,378.9599914550781,42.0,0.0,0.0
16.0,7.0,394.739990234375,60.0,0.0,0.0
16.0,8.0,410.5199890136719,60.0,0.0,0.0
16.0,9.0,426.29998779296875,54.0,0.0,0.0
16.0,10.0,442.0799865722656,54.0,0.0,0.0
16.0,11.0,457.9200134277344,54.0,0.0,0.0
16.0,12.0,473.70001220703125,54.0,0.0,0.0
16.0,13.0,489.4800109863281,60.0,0.0,0.0
16.0,14.0,505.260009765625,60.0,0.0,0.0
16.0,15.0,521.0399780273438,42.0,0.0,0.0
16.0,16.0,536.8200073242188,12.0,0.0,0.0
16.0,17.0,552.6599731445312,6.0,0.0,0.0
16.0,18.0,568.4400024414062,0.0,0.0,0.0
16.0,19.0,584.219970703125,0.0,0.0,0.0
16.0,20.0,600.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.5
0.0,1.0,120.0,-18.0,0.0,0.0
0.0,2.0,138.9600067138672,-18.0,0.0,0.0
0.0,3.0,157.9199981689453,-18.0,0.0,0.0
0.0,4.0,176.75999450683594,-18.0,0.0,0.0
0.0,5.0,195.72000122070312,-18.0,0.0,0.0
0.0,6.0,214.8000030517578,0.0,0.0,0.0
0.0,7.0,233.63999938964844,24.0,0.0,0.0
0.0,8.0,252.60000610351562,36.0,0.0,0.0
0.0,9.0,271.55999755859375,36.0,0.0,0.0
0.0,10.0,290.5199890136719,36.0,0.0,0.0
0.0,11.0,309.4800109863281,36.0,0.0,0.0
0.0,12.0,328.44000244140625,36.0,0.0,0.0
0.0,13.0,347.3999938964844,36.0,0.0,0.0
0.0,14.0,366.3599853515625,24.0,0.0,0.0
0.0,15.0,385.20001220703125,0.0,0.0,0.0
0.0,16.0,404.1600036621094,-18.0,0.0,0.0
0.0,17.0,423.239990234375,-18.0,0.0,0.0
0.0,18.0,442.0799865722656,-18.0,0.0,0.0
0.0,19.0,461.0400085449219,-18.0,0.0,0.0
0.0,20.0,480.0,-18.0,0.0,0.0
1.0,1.0,135.0,-18.0,0.0,0.0
1.0,2.0,153.3552703857422,-18.0,0.0,0.0
1.0,3.0,171.7105255126953,-18.0,0.0,0.0
1.0,4.0,202.43463134765625,-23.049835205078125,0.0,0.0
1.0,5.0,221.0193634033203,-21.838848114013672,0.0,0.0
1.0,6.0,241.6818389892578,-2.156282424926758,0.0,0.0
1.0,7.0,264.8135070800781,32.51662826538086,0.0,0.0
1.0,8.0,276.0904541015625,43.538944244384766,0.0,0.0
1.0,9.0,285.9618835449219,37.80051040649414,0.0,0.0
1.0,10.0,299.9141845703125,37.48659896850586,0.0,0.0
1.0,11.0,315.3580322265625,36.9047966003418,0.0,0.0
1.0,12.0,330.59881591796875,36.75509262084961,0.0,0.0
1.0,13.0,347.3107604980469,37.23746109008789,0.0,0.0
1.0,14.0,365.7279357910156,25.861906051635742,0.0,0.0
1.0,15.0,383.5827941894531,-0.08110571652650833,0.0,0.0
